,ReportDataID,TermID,TermYear,TernDay,NormID,NormGroupID,NormName,UnitCode,NormTypeID,FromSource,NormValue,ReportTime
144,71672,1,2023,2023-06-19 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,20/06/2023
145,71671,1,2023,2023-06-19 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23718.0,20/06/2023
146,71659,1,2023,2023-06-18 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,19/06/2023
147,71658,1,2023,2023-06-18 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23697.0,19/06/2023
148,71650,1,2023,2023-06-16 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,17/06/2023
149,71649,1,2023,2023-06-16 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23711.0,17/06/2023
150,71637,1,2023,2023-06-15 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,16/06/2023
151,71636,1,2023,2023-06-15 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23711.0,16/06/2023
152,71624,1,2023,2023-06-14 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,15/06/2023
153,71623,1,2023,2023-06-14 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23704.0,15/06/2023
154,71611,1,2023,2023-06-13 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,14/06/2023
155,71610,1,2023,2023-06-13 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23700.0,14/06/2023
156,71598,1,2023,2023-06-12 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,13/06/2023
157,71597,1,2023,2023-06-12 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23699.0,13/06/2023
158,71585,1,2023,2023-06-11 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,12/06/2023
159,71584,1,2023,2023-06-11 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23700.0,12/06/2023
160,71580,1,2023,2023-06-09 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,10/06/2023
161,71579,1,2023,2023-06-09 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23717.0,10/06/2023
162,71567,1,2023,2023-06-08 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,09/06/2023
163,71566,1,2023,2023-06-08 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23717.0,09/06/2023
164,71554,1,2023,2023-06-07 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,08/06/2023
165,71553,1,2023,2023-06-07 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23714.0,08/06/2023
166,71541,1,2023,2023-06-06 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,07/06/2023
167,71540,1,2023,2023-06-06 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23713.0,07/06/2023
168,71528,1,2023,2023-06-04 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,05/06/2023
169,71527,1,2023,2023-06-04 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23693.0,05/06/2023
170,71507,1,2023,2023-06-01 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,02/06/2023
171,71506,1,2023,2023-06-01 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23722.0,02/06/2023
172,71502,1,2023,2023-05-31 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,01/06/2023
173,71501,1,2023,2023-05-31 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23729.0,01/06/2023
174,71489,1,2023,2023-05-30 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,31/05/2023
175,71488,1,2023,2023-05-30 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23714.0,31/05/2023
176,71418,1,2023,2023-05-29 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,30/05/2023
177,71417,1,2023,2023-05-29 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23714.0,30/05/2023
178,71405,1,2023,2023-05-28 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,29/05/2023
179,71404,1,2023,2023-05-28 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23712.0,29/05/2023
180,71400,1,2023,2023-05-26 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,27/05/2023
181,71399,1,2023,2023-05-26 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23711.0,27/05/2023
182,71383,1,2023,2023-05-24 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,25/05/2023
183,71382,1,2023,2023-05-24 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23696.0,25/05/2023
184,71370,1,2023,2023-05-22 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,23/05/2023
185,71369,1,2023,2023-05-22 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23670.0,23/05/2023
186,71357,1,2023,2023-05-21 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,22/05/2023
187,71356,1,2023,2023-05-21 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23684.0,22/05/2023
188,71352,1,2023,2023-05-18 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,19/05/2023
189,71351,1,2023,2023-05-18 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23680.0,19/05/2023
190,71339,1,2023,2023-05-17 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,18/05/2023
191,71338,1,2023,2023-05-17 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23672.0,18/05/2023
192,71326,1,2023,2023-05-16 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,17/05/2023
193,71325,1,2023,2023-05-16 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23656.0,17/05/2023
194,71313,1,2023,2023-05-15 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,16/05/2023
195,71312,1,2023,2023-05-15 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23652.0,16/05/2023
196,71300,1,2023,2023-05-14 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,15/05/2023
197,71299,1,2023,2023-05-14 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23652.0,15/05/2023
198,71295,1,2023,2023-05-12 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,13/05/2023
199,71294,1,2023,2023-05-12 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23640.0,13/05/2023
200,71282,1,2023,2023-05-11 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,12/05/2023
201,71281,1,2023,2023-05-11 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23640.0,12/05/2023
202,71269,1,2023,2023-05-10 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,11/05/2023
203,71268,1,2023,2023-05-10 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23632.0,11/05/2023
204,71264,1,2023,2023-05-09 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,10/05/2023
205,71263,1,2023,2023-05-09 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23630.0,10/05/2023
206,71251,1,2023,2023-05-08 17:00:00,300,0,Interbank,VND/USD,53,Ngân hàng Nhà nước Việt Nam,,09/05/2023
207,71250,1,2023,2023-05-08 17:00:00,499,0,Central rate (from 04/01/2016),VND/USD,53,,23621.0,09/05/2023
